name,cr,type,initiative,armor_class,hit_points,document__title,page_no,link
Tendril Puppet,2.0,Plant,2,13,51,Tome of Beasts 2023,389,http://slyflourish.com/5e_monsters/monsters_html/tendrilpuppet-tob1-2023.html
Thuellai,12.0,Elemental,7,17,161,Tome of Beasts 2023,360,http://slyflourish.com/5e_monsters/monsters_html/thuellai-tob1-2023.html
Thursir,3.0,Giant,0,13,114,Tome of Beasts 2023,210,http://slyflourish.com/5e_monsters/monsters_html/thursir-tob1-2023.html
Titanoboa,12.0,Beast,0,14,232,Tome of Beasts 2023,363,http://slyflourish.com/5e_monsters/monsters_html/titanoboa-tob1-2023.html
Tophet,8.0,Construct,0,16,161,Tome of Beasts 2023,364,http://slyflourish.com/5e_monsters/monsters_html/tophet-tob1-2023.html
Tosculi Drone,0.5,Humanoid,3,13,22,Tome of Beasts 2023,367,http://slyflourish.com/5e_monsters/monsters_html/tosculidrone-tob1-2023.html
Tosculi Elite Bow Raider,5.0,Humanoid,7,17,97,Tome of Beasts 2023,366,http://slyflourish.com/5e_monsters/monsters_html/tosculielitebowraider-tob1-2023.html
Tosculi Hive Queen,12.0,Monstrosity,7,17,189,Tome of Beasts 2023,366,http://slyflourish.com/5e_monsters/monsters_html/tosculihivequeen-tob1-2023.html
Tosculi Warrior,3.0,Humanoid,5,15,58,Tome of Beasts 2023,367,http://slyflourish.com/5e_monsters/monsters_html/tosculiwarrior-tob1-2023.html
Trapsmith,2.0,Humanoid,3,14,54,Tome of Beasts 2023,246,http://slyflourish.com/5e_monsters/monsters_html/trapsmith-tob1-2023.html
Treacle,0.25,Ooze,2,12,22,Tome of Beasts 2023,368,http://slyflourish.com/5e_monsters/monsters_html/treacle-tob1-2023.html
Trollkin Reaver,4.0,Humanoid,2,14,82,Tome of Beasts 2023,371,http://slyflourish.com/5e_monsters/monsters_html/trollkinreaver-tob1-2023.html
Tusked Skyfish,4.0,Aberration,1,14,102,Tome of Beasts 2023,372,http://slyflourish.com/5e_monsters/monsters_html/tuskedskyfish-tob1-2023.html
Umbral Vampire,7.0,Undead,4,14,84,Tome of Beasts 2023,382,http://slyflourish.com/5e_monsters/monsters_html/umbralvampire-tob1-2023.html
Uraeus,2.0,Celestial,2,14,40,Tome of Beasts 2023,373,http://slyflourish.com/5e_monsters/monsters_html/uraeus-tob1-2023.html
Urochar,17.0,Aberration,2,19,256,Tome of Beasts 2023,374,http://slyflourish.com/5e_monsters/monsters_html/urochar-tob1-2023.html
Ushabti,8.0,Construct,5,17,119,Tome of Beasts 2023,376,http://slyflourish.com/5e_monsters/monsters_html/ushabti-tob1-2023.html
Ushabti Royal Guard,14.0,Construct,3,19,168,Tome of Beasts 2023,377,http://slyflourish.com/5e_monsters/monsters_html/ushabtiroyalguard-tob1-2023.html
Valkyrie,11.0,Celestial,4,18,150,Tome of Beasts 2023,379,http://slyflourish.com/5e_monsters/monsters_html/valkyrie-tob1-2023.html
Vapor Lynx,5.0,Monstrosity,4,14,127,Tome of Beasts 2023,383,http://slyflourish.com/5e_monsters/monsters_html/vaporlynx-tob1-2023.html
Venomous Mummy,3.0,Undead,-1,11,58,Tome of Beasts 2023,279,http://slyflourish.com/5e_monsters/monsters_html/venomousmummy-tob1-2023.html
Vesiculosa,11.0,Plant,2,15,232,Tome of Beasts 2023,385,http://slyflourish.com/5e_monsters/monsters_html/vesiculosa-tob1-2023.html
Vila,5.0,Fey,5,15,77,Tome of Beasts 2023,386,http://slyflourish.com/5e_monsters/monsters_html/vila-tob1-2023.html
Vile Barber,2.0,Fey,4,14,35,Tome of Beasts 2023,387,http://slyflourish.com/5e_monsters/monsters_html/vilebarber-tob1-2023.html
Vine Lord,9.0,Plant,5,16,105,Tome of Beasts 2023,388,http://slyflourish.com/5e_monsters/monsters_html/vinelord-tob1-2023.html
Vine Troll Skeleton,9.0,Undead,1,16,153,Tome of Beasts 2023,330,http://slyflourish.com/5e_monsters/monsters_html/vinetrollskeleton-tob1-2023.html
Void Dragon Wyrmling,2.0,Dragon,0,17,45,Tome of Beasts 2023,131,http://slyflourish.com/5e_monsters/monsters_html/voiddragonwyrmling-tob1-2023.html
Voidling,11.0,Aberration,6,15,180,Tome of Beasts 2023,390,http://slyflourish.com/5e_monsters/monsters_html/voidling-tob1-2023.html
Volguloth,4.0,Fiend,2,14,78,Tome of Beasts 2023,391,http://slyflourish.com/5e_monsters/monsters_html/volguloth-tob1-2023.html
Vættir,4.0,Undead,2,15,97,Tome of Beasts 2023,378,http://slyflourish.com/5e_monsters/monsters_html/vættir-tob1-2023.html
Wampus Cat,1.0,Monstrosity,4,14,39,Tome of Beasts 2023,392,http://slyflourish.com/5e_monsters/monsters_html/wampuscat-tob1-2023.html
War Ostrich,0.5,Beast,1,11,42,Tome of Beasts 2023,393,http://slyflourish.com/5e_monsters/monsters_html/warostrich-tob1-2023.html
Water Leaper,4.0,Monstrosity,2,14,97,Tome of Beasts 2023,394,http://slyflourish.com/5e_monsters/monsters_html/waterleaper-tob1-2023.html
Weeping Treant,6.0,Plant,-1,17,105,Tome of Beasts 2023,369,http://slyflourish.com/5e_monsters/monsters_html/weepingtreant-tob1-2023.html
Wharfling,0.125,Beast,2,12,10,Tome of Beasts 2023,395,http://slyflourish.com/5e_monsters/monsters_html/wharfling-tob1-2023.html
White Ape,6.0,Monstrosity,3,14,114,Tome of Beasts 2023,396,http://slyflourish.com/5e_monsters/monsters_html/whiteape-tob1-2023.html
Wind Dragon Wyrmling,1.0,Dragon,3,15,32,Tome of Beasts 2023,135,http://slyflourish.com/5e_monsters/monsters_html/winddragonwyrmling-tob1-2023.html
Witchlight,0.25,Construct,2,12,20,Tome of Beasts 2023,397,http://slyflourish.com/5e_monsters/monsters_html/witchlight-tob1-2023.html
Wolf Reaver Dwarf,3.0,Humanoid,1,16,76,Tome of Beasts 2023,412,http://slyflourish.com/5e_monsters/monsters_html/wolfreaverdwarf-tob1-2023.html
Wormhearted Suffragan,5.0,Undead,4,13,120,Tome of Beasts 2023,398,http://slyflourish.com/5e_monsters/monsters_html/wormheartedsuffragan-tob1-2023.html
Xanka,0.5,Construct,2,14,27,Tome of Beasts 2023,399,http://slyflourish.com/5e_monsters/monsters_html/xanka-tob1-2023.html
Xhkarsh,9.0,Aberration,4,18,171,Tome of Beasts 2023,400,http://slyflourish.com/5e_monsters/monsters_html/xhkarsh-tob1-2023.html
Ychen Bannog,11.0,Beast,0,17,186,Tome of Beasts 2023,401,http://slyflourish.com/5e_monsters/monsters_html/ychenbannog-tob1-2023.html
Young Cave Dragon,9.0,Dragon,1,17,189,Tome of Beasts 2023,115,http://slyflourish.com/5e_monsters/monsters_html/youngcavedragon-tob1-2023.html
Young Flame Dragon,8.0,Dragon,2,18,190,Tome of Beasts 2023,119,http://slyflourish.com/5e_monsters/monsters_html/youngflamedragon-tob1-2023.html
Young Mithral Dragon,7.0,Dragon,4,16,170,Tome of Beasts 2023,123,http://slyflourish.com/5e_monsters/monsters_html/youngmithraldragon-tob1-2023.html
Young Sea Dragon,9.0,Dragon,0,18,190,Tome of Beasts 2023,127,http://slyflourish.com/5e_monsters/monsters_html/youngseadragon-tob1-2023.html
Young Spinosaurus,5.0,Beast,0,14,105,Tome of Beasts 2023,104,http://slyflourish.com/5e_monsters/monsters_html/youngspinosaurus-tob1-2023.html
Young Void Dragon,9.0,Dragon,0,18,157,Tome of Beasts 2023,130,http://slyflourish.com/5e_monsters/monsters_html/youngvoiddragon-tob1-2023.html
Young Wind Dragon,6.0,Dragon,3,16,123,Tome of Beasts 2023,135,http://slyflourish.com/5e_monsters/monsters_html/youngwinddragon-tob1-2023.html
Zanskaran Viper,1.0,Beast,0,14,34,Tome of Beasts 2023,334,http://slyflourish.com/5e_monsters/monsters_html/zanskaranviper-tob1-2023.html
Zimwi,5.0,Giant,4,16,110,Tome of Beasts 2023,402,http://slyflourish.com/5e_monsters/monsters_html/zimwi-tob1-2023.html
Zmey,15.0,Dragon,2,18,189,Tome of Beasts 2023,403,http://slyflourish.com/5e_monsters/monsters_html/zmey-tob1-2023.html
Zmey Headling,5.0,Dragon,0,16,105,Tome of Beasts 2023,404,http://slyflourish.com/5e_monsters/monsters_html/zmeyheadling-tob1-2023.html
Abaasy,8.0,Giant,0,18,126,Tome of Beasts 3,8,http://slyflourish.com/5e_monsters/monsters_html/abaasy.html
Ahu-Nixta Mechanon,2.0,Construct,1,14,51,Tome of Beasts 3,9,http://slyflourish.com/5e_monsters/monsters_html/ahu-nixta-mechanon.html
Akanka,2.0,Fey,2,12,45,Tome of Beasts 3,10,http://slyflourish.com/5e_monsters/monsters_html/akanka.html
Akkorokamui,12.0,Celestial,3,17,189,Tome of Beasts 3,11,http://slyflourish.com/5e_monsters/monsters_html/akkorokamui.html
Alabroza,1.0,Monstrosity,2,12,45,Tome of Beasts 3,13,http://slyflourish.com/5e_monsters/monsters_html/alabroza.html
"Alabroza, Bloodfiend",4.0,Fiend,2,14,72,Tome of Beasts 3,13,http://slyflourish.com/5e_monsters/monsters_html/alabroza-bloodfiend.html
Alazai,10.0,Elemental,2,16,149,Tome of Beasts 3,15,http://slyflourish.com/5e_monsters/monsters_html/alazai.html
Alke,5.0,Monstrosity,2,14,114,Tome of Beasts 3,16,http://slyflourish.com/5e_monsters/monsters_html/alke.html
"Alliumite, Husker",2.0,Plant,1,15,68,Tome of Beasts 3,17,http://slyflourish.com/5e_monsters/monsters_html/alliumite-husker.html
"Alliumite, Rapscallion",2.0,Plant,4,15,38,Tome of Beasts 3,17,http://slyflourish.com/5e_monsters/monsters_html/alliumite-rapscallion.html
Alpine Creeper,3.0,Plant,-4,5,95,Tome of Beasts 3,19,http://slyflourish.com/5e_monsters/monsters_html/alpine-creeper.html
"Alseid, Woad Warrior",2.0,Monstrosity,4,14,55,Tome of Beasts 3,20,http://slyflourish.com/5e_monsters/monsters_html/alseid-woad-warrior.html
Amphibolt,5.0,Monstrosity,4,15,85,Tome of Beasts 3,21,http://slyflourish.com/5e_monsters/monsters_html/amphibolt.html
"Angel, Haladron",0.5,Celestial,1,13,28,Tome of Beasts 3,23,http://slyflourish.com/5e_monsters/monsters_html/angel-haladron.html
"Angel, Kalkydra",13.0,Celestial,2,18,189,Tome of Beasts 3,26,http://slyflourish.com/5e_monsters/monsters_html/angel-kalkydra.html
"Angel, Pelagic Deva",11.0,Celestial,4,17,142,Tome of Beasts 3,27,http://slyflourish.com/5e_monsters/monsters_html/angel-pelagic-deva.html
"Angel, Psychopomp",4.0,Celestial,2,14,68,Tome of Beasts 3,28,http://slyflourish.com/5e_monsters/monsters_html/angel-psychopomp.html
"Angel, Shrouded",13.0,Celestial,5,18,161,Tome of Beasts 3,29,http://slyflourish.com/5e_monsters/monsters_html/angel-shrouded.html
"Angel, Zirnitran",20.0,Celestial,2,19,325,Tome of Beasts 3,30,http://slyflourish.com/5e_monsters/monsters_html/angel-zirnitran.html
"Animal Lord, Mammoth Queen",18.0,Fey,0,20,250,Tome of Beasts 3,32,http://slyflourish.com/5e_monsters/monsters_html/animal-lord-mammoth-queen.html
Animated Instrument,0.25,Construct,1,12,17,Tome of Beasts 3,34,http://slyflourish.com/5e_monsters/monsters_html/animated-instrument.html
"Animated Instrument, Quartet",4.0,Construct,3,14,102,Tome of Beasts 3,34,http://slyflourish.com/5e_monsters/monsters_html/animated-instrument-quartet.html
"Animated Instrument, Symphony",15.0,Construct,4,15,201,Tome of Beasts 3,34,http://slyflourish.com/5e_monsters/monsters_html/animated-instrument-symphony.html
Animated Offal,9.0,Ooze,-2,8,207,Tome of Beasts 3,38,http://slyflourish.com/5e_monsters/monsters_html/animated-offal.html
Aphasian Abomination,10.0,Construct,5,15,170,Tome of Beasts 3,39,http://slyflourish.com/5e_monsters/monsters_html/aphasian-abomination.html
Arcane Leviathan,16.0,Construct,-2,17,279,Tome of Beasts 3,40,http://slyflourish.com/5e_monsters/monsters_html/arcane-leviathan.html
Arcane Scavenger,9.0,Construct,4,17,127,Tome of Beasts 3,41,http://slyflourish.com/5e_monsters/monsters_html/arcane-scavenger.html
"Archon, Siege",13.0,Celestial,2,18,187,Tome of Beasts 3,42,http://slyflourish.com/5e_monsters/monsters_html/archon-siege.html
"Archon, Ursan",9.0,Celestial,2,16,142,Tome of Beasts 3,43,http://slyflourish.com/5e_monsters/monsters_html/archon-ursan.html
"Archon, Word",1.0,Celestial,2,13,28,Tome of Beasts 3,44,http://slyflourish.com/5e_monsters/monsters_html/archon-word.html
Asp Vine,4.0,Plant,1,13,55,Tome of Beasts 3,45,http://slyflourish.com/5e_monsters/monsters_html/asp-vine.html
Astralsupial,4.0,Beast,4,14,82,Tome of Beasts 3,46,http://slyflourish.com/5e_monsters/monsters_html/astralsupial.html
Aural Hunter,5.0,Aberration,2,15,127,Tome of Beasts 3,47,http://slyflourish.com/5e_monsters/monsters_html/aural-hunter.html
Avestruzii,0.5,Humanoid,0,14,22,Tome of Beasts 3,48,http://slyflourish.com/5e_monsters/monsters_html/avestruzii.html
Avestruzii Champion,2.0,Humanoid,1,15,45,Tome of Beasts 3,48,http://slyflourish.com/5e_monsters/monsters_html/avestruzii-champion.html
Aziza,0.5,Fey,4,15,21,Tome of Beasts 3,49,http://slyflourish.com/5e_monsters/monsters_html/aziza.html
Baleful Miasma,2.0,Elemental,4,13,52,Tome of Beasts 3,50,http://slyflourish.com/5e_monsters/monsters_html/baleful-miasma.html
Bannik,2.0,Fey,2,13,60,Tome of Beasts 3,51,http://slyflourish.com/5e_monsters/monsters_html/bannik.html
Beach Weird,3.0,Elemental,2,14,65,Tome of Beasts 3,52,http://slyflourish.com/5e_monsters/monsters_html/beach-weird.html
Bearfolk Thunderstomper,6.0,Humanoid,2,15,105,Tome of Beasts 3,53,http://slyflourish.com/5e_monsters/monsters_html/bearfolk-thunderstomper.html
"Beetle, Clacker Soldier",1.0,Beast,2,15,18,Tome of Beasts 3,54,http://slyflourish.com/5e_monsters/monsters_html/beetle-clacker-soldier.html
"Beetle, Clacker Swarm",3.0,Beast,2,14,36,Tome of Beasts 3,54,http://slyflourish.com/5e_monsters/monsters_html/beetle-clacker-swarm.html
Belu,10.0,Giant,1,16,184,Tome of Beasts 3,55,http://slyflourish.com/5e_monsters/monsters_html/belu.html
Berberoka,7.0,Giant,0,16,114,Tome of Beasts 3,56,http://slyflourish.com/5e_monsters/monsters_html/berberoka.html
Birgemon Seal,2.0,Aberration,2,12,60,Tome of Beasts 3,57,http://slyflourish.com/5e_monsters/monsters_html/birgemon-seal.html
Black Patch,6.0,Ooze,-2,7,153,Tome of Beasts 3,58,http://slyflourish.com/5e_monsters/monsters_html/black-patch.html
Black Shuck,11.0,Fiend,3,17,157,Tome of Beasts 3,59,http://slyflourish.com/5e_monsters/monsters_html/black-shuck.html
Blaspheming Hand,3.0,Fiend,0,14,68,Tome of Beasts 3,60,http://slyflourish.com/5e_monsters/monsters_html/blaspheming-hand.html
Blestsessebe,8.0,Celestial,4,16,144,Tome of Beasts 3,61,http://slyflourish.com/5e_monsters/monsters_html/blestsessebe.html
Blood Barnacle,0.25,Beast,2,13,25,Tome of Beasts 3,62,http://slyflourish.com/5e_monsters/monsters_html/blood-barnacle.html
Blood Flurry,10.0,Aberration,6,17,144,Tome of Beasts 3,63,http://slyflourish.com/5e_monsters/monsters_html/blood-flurry.html
Bone Collector,0.5,Undead,2,13,21,Tome of Beasts 3,64,http://slyflourish.com/5e_monsters/monsters_html/bone-collector.html
Bone Lord,19.0,Undead,2,20,285,Tome of Beasts 3,65,http://slyflourish.com/5e_monsters/monsters_html/bone-lord.html
Brain Coral,5.0,Aberration,-2,14,119,Tome of Beasts 3,67,http://slyflourish.com/5e_monsters/monsters_html/brain-coral.html
Brownie,1.0,Fey,5,15,28,Tome of Beasts 3,68,http://slyflourish.com/5e_monsters/monsters_html/brownie.html
Brownie Beastrider,3.0,Fey,5,15,54,Tome of Beasts 3,68,http://slyflourish.com/5e_monsters/monsters_html/brownie-beastrider.html
Brownie Mystic,5.0,Fey,5,15,82,Tome of Beasts 3,68,http://slyflourish.com/5e_monsters/monsters_html/brownie-mystic.html
Brumalek,0.5,Beast,3,13,40,Tome of Beasts 3,70,http://slyflourish.com/5e_monsters/monsters_html/brumalek.html
Caldera Kite,7.0,Monstrosity,4,17,119,Tome of Beasts 3,71,http://slyflourish.com/5e_monsters/monsters_html/caldera-kite.html
Capybear,1.0,Monstrosity,2,13,60,Tome of Beasts 3,72,http://slyflourish.com/5e_monsters/monsters_html/capybear.html
Caretaker Weevil,1.0,Beast,1,13,51,Tome of Beasts 3,73,http://slyflourish.com/5e_monsters/monsters_html/caretaker-weevil.html
Catamount,4.0,Monstrosity,2,12,117,Tome of Beasts 3,74,http://slyflourish.com/5e_monsters/monsters_html/catamount.html
Catonoctrix,10.0,Aberration,1,18,168,Tome of Beasts 3,75,http://slyflourish.com/5e_monsters/monsters_html/catonoctrix.html
Catterball,1.0,Fey,4,13,44,Tome of Beasts 3,76,http://slyflourish.com/5e_monsters/monsters_html/catterball.html
Cave Mimic,7.0,Monstrosity,-1,13,174,Tome of Beasts 3,77,http://slyflourish.com/5e_monsters/monsters_html/cave-mimic.html
Cave Sovereign,16.0,Aberration,-1,18,253,Tome of Beasts 3,78,http://slyflourish.com/5e_monsters/monsters_html/cave-sovereign.html
Chaos Creeper,9.0,Plant,4,16,150,Tome of Beasts 3,80,http://slyflourish.com/5e_monsters/monsters_html/chaos-creeper.html
Chaos Raptor,13.0,Monstrosity,0,18,248,Tome of Beasts 3,81,http://slyflourish.com/5e_monsters/monsters_html/chaos-raptor.html
Chemosit,5.0,Fiend,4,15,119,Tome of Beasts 3,82,http://slyflourish.com/5e_monsters/monsters_html/chemosit.html
"Chimera, Royal",15.0,Monstrosity,2,17,189,Tome of Beasts 3,83,http://slyflourish.com/5e_monsters/monsters_html/chimera-royal.html
Chroma Lizard,4.0,Beast,3,15,90,Tome of Beasts 3,84,http://slyflourish.com/5e_monsters/monsters_html/chroma-lizard.html
Climbing Vine,0.125,Plant,-2,11,13,Tome of Beasts 3,85,http://slyflourish.com/5e_monsters/monsters_html/climbing-vine.html
Clockwork Armadillo,0.25,Construct,4,14,22,Tome of Beasts 3,86,http://slyflourish.com/5e_monsters/monsters_html/clockwork-armadillo.html
Clockwork Conductor,0.5,Construct,1,13,28,Tome of Beasts 3,87,http://slyflourish.com/5e_monsters/monsters_html/clockwork-conductor.html
Clockwork Pugilist,1.0,Construct,1,15,32,Tome of Beasts 3,88,http://slyflourish.com/5e_monsters/monsters_html/clockwork-pugilist.html
Clockwork Scorpion,9.0,Construct,2,16,95,Tome of Beasts 3,89,http://slyflourish.com/5e_monsters/monsters_html/clockwork-scorpion.html
Clockwork Tactician,11.0,Construct,2,16,150,Tome of Beasts 3,90,http://slyflourish.com/5e_monsters/monsters_html/clockwork-tactician.html
Cloudhoof Assassin,1.0,Beast,4,13,45,Tome of Beasts 3,91,http://slyflourish.com/5e_monsters/monsters_html/cloudhoof-assassin.html
Coastline Reaper,9.0,Monstrosity,4,16,144,Tome of Beasts 3,92,http://slyflourish.com/5e_monsters/monsters_html/coastline-reaper.html
Conniption Bug,1.0,Beast,2,13,55,Tome of Beasts 3,93,http://slyflourish.com/5e_monsters/monsters_html/conniption-bug.html
Copperkill Slime,8.0,Ooze,0,10,142,Tome of Beasts 3,94,http://slyflourish.com/5e_monsters/monsters_html/copperkill-slime.html
Corpselight Moth,5.0,Beast,4,15,136,Tome of Beasts 3,95,http://slyflourish.com/5e_monsters/monsters_html/corpselight-moth.html
Cosmic Symphony,15.0,Celestial,8,18,200,Tome of Beasts 3,96,http://slyflourish.com/5e_monsters/monsters_html/cosmic-symphony.html
"Crab, Duffel",3.0,Monstrosity,1,15,60,Tome of Beasts 3,97,http://slyflourish.com/5e_monsters/monsters_html/crab-duffel.html
"Crab, Razorback",2.0,Beast,0,17,58,Tome of Beasts 3,98,http://slyflourish.com/5e_monsters/monsters_html/crab-razorback.html
"Crab, Samurai",6.0,Beast,0,16,105,Tome of Beasts 3,99,http://slyflourish.com/5e_monsters/monsters_html/crab-samurai.html
Crystallite,4.0,Giant,-1,15,90,Tome of Beasts 3,100,http://slyflourish.com/5e_monsters/monsters_html/crystallite.html
Cueyatl Warchief,7.0,Humanoid,2,16,117,Tome of Beasts 3,101,http://slyflourish.com/5e_monsters/monsters_html/cueyatl-warchief.html
Cyonaxin,8.0,Celestial,6,16,117,Tome of Beasts 3,102,http://slyflourish.com/5e_monsters/monsters_html/cyonaxin.html
Daeodon,3.0,Beast,-1,13,76,Tome of Beasts 3,103,http://slyflourish.com/5e_monsters/monsters_html/daeodon.html
Dawnfly,19.0,Beast,5,21,261,Tome of Beasts 3,104,http://slyflourish.com/5e_monsters/monsters_html/dawnfly.html
"Dawnfly, Desolation Nymph",2.0,Beast,2,13,68,Tome of Beasts 3,104,http://slyflourish.com/5e_monsters/monsters_html/dawnfly-desolation-nymph.html
Death Worm,1.0,Monstrosity,2,13,44,Tome of Beasts 3,106,http://slyflourish.com/5e_monsters/monsters_html/death-worm.html
"Demon, Balbazu",2.0,Fiend,3,13,36,Tome of Beasts 3,107,http://slyflourish.com/5e_monsters/monsters_html/demon-balbazu.html
"Demon, Inciter",1.0,Fiend,2,13,27,Tome of Beasts 3,108,http://slyflourish.com/5e_monsters/monsters_html/demon-inciter.html
"Demon, Kogukhpak",18.0,Fiend,0,17,262,Tome of Beasts 3,109,http://slyflourish.com/5e_monsters/monsters_html/demon-kogukhpak.html
"Demon, Leech",11.0,Fiend,3,17,147,Tome of Beasts 3,110,http://slyflourish.com/5e_monsters/monsters_html/demon-leech.html
"Demon, Maha",12.0,Fiend,6,15,178,Tome of Beasts 3,111,http://slyflourish.com/5e_monsters/monsters_html/demon-maha.html
"Demon, Vetala",8.0,Fiend,5,15,114,Tome of Beasts 3,112,http://slyflourish.com/5e_monsters/monsters_html/demon-vetala.html
"Derro, Abysswalker",6.0,Humanoid,4,16,112,Tome of Beasts 3,113,http://slyflourish.com/5e_monsters/monsters_html/derro-abysswalker.html
"Derro, Hellforged",6.0,Humanoid,2,16,112,Tome of Beasts 3,113,http://slyflourish.com/5e_monsters/monsters_html/derro-hellforged.html
"Derro, Voidwarped",6.0,Humanoid,4,14,120,Tome of Beasts 3,113,http://slyflourish.com/5e_monsters/monsters_html/derro-voidwarped.html
Desert Slime,3.0,Ooze,-2,8,75,Tome of Beasts 3,115,http://slyflourish.com/5e_monsters/monsters_html/desert-slime.html
Despair And Anger,10.0,Celestial,3,16,161,Tome of Beasts 3,116,http://slyflourish.com/5e_monsters/monsters_html/despair-and-anger.html
"Devil, Devilflame Juggler",13.0,Fiend,6,18,178,Tome of Beasts 3,119,http://slyflourish.com/5e_monsters/monsters_html/devil-devilflame-juggler.html
"Devil, Infernal Tutor",13.0,Fiend,3,17,182,Tome of Beasts 3,120,http://slyflourish.com/5e_monsters/monsters_html/devil-infernal-tutor.html
"Devil, Infernal Tutor, Lesser",7.0,Fiend,3,15,110,Tome of Beasts 3,120,http://slyflourish.com/5e_monsters/monsters_html/devil-infernal-tutor-lesser.html
"Devil, Maelstrom",12.0,Fiend,3,17,195,Tome of Beasts 3,122,http://slyflourish.com/5e_monsters/monsters_html/devil-maelstrom.html
"Devil, Moldering",0.5,Fiend,0,13,27,Tome of Beasts 3,123,http://slyflourish.com/5e_monsters/monsters_html/devil-moldering.html
"Devil, Rimepacted",6.0,Fiend,1,15,91,Tome of Beasts 3,124,http://slyflourish.com/5e_monsters/monsters_html/devil-rimepacted.html
Devouring Angel,12.0,Aberration,2,15,220,Tome of Beasts 3,125,http://slyflourish.com/5e_monsters/monsters_html/devouring-angel.html
"Dinosaur, Guardian Archaeopteryx",2.0,Beast,2,15,36,Tome of Beasts 3,126,http://slyflourish.com/5e_monsters/monsters_html/dinosaur-guardian-archaeopteryx.html
"Dinosaur, Jeholopterus",0.25,Beast,3,14,12,Tome of Beasts 3,126,http://slyflourish.com/5e_monsters/monsters_html/dinosaur-jeholopterus.html
"Dinosaur, Razorfeather Raptor",2.0,Monstrosity,4,16,39,Tome of Beasts 3,126,http://slyflourish.com/5e_monsters/monsters_html/dinosaur-razorfeather-raptor.html
"Dinosaur, Therizinosaurus",5.0,Beast,0,13,95,Tome of Beasts 3,126,http://slyflourish.com/5e_monsters/monsters_html/dinosaur-therizinosaurus.html
"Dinosaur, Thundercall Hadrosaur",11.0,Monstrosity,0,16,168,Tome of Beasts 3,126,http://slyflourish.com/5e_monsters/monsters_html/dinosaur-thundercall-hadrosaur.html
Diomedian Horse,3.0,Beast,2,14,57,Tome of Beasts 3,130,http://slyflourish.com/5e_monsters/monsters_html/diomedian-horse.html
Dire Lionfish,6.0,Beast,2,15,136,Tome of Beasts 3,131,http://slyflourish.com/5e_monsters/monsters_html/dire-lionfish.html
Dire Owlbear,5.0,Monstrosity,1,15,102,Tome of Beasts 3,132,http://slyflourish.com/5e_monsters/monsters_html/dire-owlbear.html
Dire Pangolin,4.0,Beast,0,16,82,Tome of Beasts 3,133,http://slyflourish.com/5e_monsters/monsters_html/dire-pangolin.html
Dire Wildebeest,7.0,Beast,3,14,150,Tome of Beasts 3,134,http://slyflourish.com/5e_monsters/monsters_html/dire-wildebeest.html
Div,5.0,Elemental,2,17,99,Tome of Beasts 3,135,http://slyflourish.com/5e_monsters/monsters_html/div.html
Diving Gel,0.25,Ooze,3,13,17,Tome of Beasts 3,136,http://slyflourish.com/5e_monsters/monsters_html/diving-gel.html
Dokkaebi,2.0,Fey,2,12,78,Tome of Beasts 3,137,http://slyflourish.com/5e_monsters/monsters_html/dokkaebi.html
Doom Creeper,6.0,Plant,6,15,137,Tome of Beasts 3,138,http://slyflourish.com/5e_monsters/monsters_html/doom-creeper.html
Doppelixir,1.0,Ooze,4,13,45,Tome of Beasts 3,139,http://slyflourish.com/5e_monsters/monsters_html/doppelixir.html
"Dragon, Prismatic Adult",16.0,Dragon,0,18,212,Tome of Beasts 3,140,http://slyflourish.com/5e_monsters/monsters_html/dragon-prismatic-adult.html
"Dragon, Prismatic Ancient",21.0,Dragon,0,20,407,Tome of Beasts 3,140,http://slyflourish.com/5e_monsters/monsters_html/dragon-prismatic-ancient.html
"Dragon, Prismatic Wyrmling",2.0,Dragon,0,16,39,Tome of Beasts 3,140,http://slyflourish.com/5e_monsters/monsters_html/dragon-prismatic-wyrmling.html
"Dragon, Prismatic Young",8.0,Dragon,0,17,142,Tome of Beasts 3,140,http://slyflourish.com/5e_monsters/monsters_html/dragon-prismatic-young.html
"Dragon, Sand Adult",18.0,Dragon,1,20,270,Tome of Beasts 3,144,http://slyflourish.com/5e_monsters/monsters_html/dragon-sand-adult.html
"Dragon, Sand Ancient",23.0,Dragon,1,21,507,Tome of Beasts 3,144,http://slyflourish.com/5e_monsters/monsters_html/dragon-sand-ancient.html
"Dragon, Sand Wyrmling",3.0,Dragon,1,18,52,Tome of Beasts 3,144,http://slyflourish.com/5e_monsters/monsters_html/dragon-sand-wyrmling.html
"Dragon, Sand Young",11.0,Dragon,1,19,189,Tome of Beasts 3,144,http://slyflourish.com/5e_monsters/monsters_html/dragon-sand-young.html
"Dragonette, Barnyard",0.25,Dragon,1,13,18,Tome of Beasts 3,148,http://slyflourish.com/5e_monsters/monsters_html/dragonette-barnyard.html
"Dragonette, Sedge",0.5,Dragon,0,13,27,Tome of Beasts 3,149,http://slyflourish.com/5e_monsters/monsters_html/dragonette-sedge.html
"Dragonette, Shovel",0.5,Dragon,0,12,33,Tome of Beasts 3,150,http://slyflourish.com/5e_monsters/monsters_html/dragonette-shovel.html
"Drake, Bakery",3.0,Dragon,3,14,82,Tome of Beasts 3,151,http://slyflourish.com/5e_monsters/monsters_html/drake-bakery.html
